uid,source,label,diacritic,sentence,original,translation,gloss,simple,Arg. Str.,ellipsis,filler-gap,control/raising,island effects,NPI/NCI,verbal agr.,binding,morphology,nominal structure,quantifier
1337,ChatGPT,1,,鈴木さんが部長に会議室の予約をお願いした。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
441,ChatGPT,1,,彼女はケーキを焼き終えた。,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
618,ChatGPT,0,,時計が正確に合わせられ遅れた。,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1825,ChatGPT,0,,彼女は絵の描き方が得意です。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
152,ChatGPT,0,*,彼は決して何も問題を解決しなかった。,彼は決して何も問題を解決しなかった。,He never solved no problems.,He-TOP never no problem-ACC solve-NEG-PAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1336,ChatGPT,1,,彼女が顧客にサンプルをお送りした。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1014,ChatGPT,0,,彼がゲームを3冊プレイした。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
248,ChatGPT,0,*,彼女が日記に書いていた夢が不思議だったのはどのような内容ですか？,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
730,ChatGPT,1,,美紀は彼女の日記を更新した。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
402,ChatGPT,0,*,彼女が今朝聞いた曲はリラックスできるが、友達が聞いたは煩い。,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1665,ChatGPT,1,,このレストランのサービスは素晴らしいが、そのレストランのは普通だ。,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2379,ChatGPT,1,,彼は毎晩映画を見る。,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2186,ChatGPT,1,,この部屋のインテリアは洗練されていて快適だ。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
601,ChatGPT,0,,記事が詳細に書かれ変更された。,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
909,ChatGPT,1,,彼女は一日に6時間勉強する。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
247,ChatGPT,0,*,彼がいつも持っているペンが高価なのはどのブランドのものですか？,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1822,ChatGPT,0,,この時計は精度の高いです。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1972,ChatGPT,1,,私は彼に本を読む。,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2130,ChatGPT,1,,今朝の散歩はとても心地よかった。,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
269,ChatGPT,1,*,私たちが夏に行ったキャンプ旅行は山中湖のほとりだった。,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
479,ChatGPT,1,,彼女は週末を過ごすことを選んだ。,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
913,ChatGPT,1,,彼女はそのパーティーに一人も知り合いがいなかった。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2446,ChatGPT,1,,子供たちは遊園地で楽しんでいる。,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,ChatGPT,1,,彼女はバスで家に行った。,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
255,ChatGPT,1,*,私たちが最近楽しんだ映画は「星に願いを」だ。,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1655,ChatGPT,0,,父が選ぶどの車か息子は考えている。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
531,ChatGPT,1,,彼女は新しい技術を取り入れるのを考えている。,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1504,ChatGPT,0,,彼女は四角いです。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1920,ChatGPT,0,,彼女が窓に開けた。,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1462,ChatGPT,0,,そのゲームは高いです。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
95,ChatGPT,1,g,彼は決してそのゲームに勝たなかった。,彼は決してそのゲームに勝たなかった。,He never won that game.',he-TOP never that game-ACC win-NEG-PAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
42,ChatGPT,1,g,誰も彼を助けようとしなかった。,誰も彼を助けようとしなかった。,Nobody tried to help him.',anyone he-ACC help-try-NEG-PAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1690,ChatGPT,1,,このレストランの料理は美味しいが、あのレストランのはそうでもない。,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
136,ChatGPT,0,*,私たちは決してそのアイディアに何もの言葉を与えなかった。,私たちは決してそのアイディアに何もの言葉を与えなかった。,We never gave any words to that idea.',We-TOP never that idea-DAT what-MO-GEN word-ACC give-NEG-PAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
979,ChatGPT,0,,彼が椅子を3足買った。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2143,ChatGPT,1,,先週末に訪れた公園は自然が豊かで素晴らしかった。,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
384,ChatGPT,0,*,彼女が今朝聞いたニュースは重要だが、彼が聞いたは些細だ。,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1961,ChatGPT,1,,私は彼と手紙を書く。,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
465,ChatGPT,1,,彼は早退することを決めた。,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1815,ChatGPT,0,,私たちは料理の食べ物が好きです。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2192,ChatGPT,1,,このレストランの料理は味が良くてヘルシーだ。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
726,ChatGPT,1,,友美は彼女の旅行計画を立てた。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1528,ChatGPT,0,,康平は優子がどのように彼の仕事を邪魔したのか苛立っているの？,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2553,ChatGPT,0,,生徒が泣かせられた先生はこの人になる。,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
270,ChatGPT,1,*,彼が書いた詩は季節の変化をテーマにしたものだ。,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1147,ChatGPT,1,,この道は歩きやすい。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
980,ChatGPT,0,,彼女がドレスを2本着た。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1674,ChatGPT,1,,彼女のスタイルはモダンだが、彼のはクラシックだ。,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2601,ChatGPT,0,,読む彼に本が書かれる。,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1349,ChatGPT,1,,私たちはその問題を解決しましたよ。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
448,ChatGPT,1,,彼女はケーキを焼き始めた。,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1086,ChatGPT,0,,子どもがおもちゃを七輪遊んだ。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1868,ChatGPT,0,,彼女は上手な歌う。,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1607,ChatGPT,1,,彼がどの車を選ぶか家族は知らない。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1251,ChatGPT,0,,彼女は歌うことがに好きだ。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1650,ChatGPT,0,,彼が選ぶどの色の車か友達は分からない。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1333,ChatGPT,1,,私が取締役に企画の概要をご説明した。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
427,ChatGPT,0,*,彼女はこの細いより太いペンで書いた。,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1442,ChatGPT,0,,あの川は痒いです。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
44,ChatGPT,1,g,私たちは決してその話を信じなかった。,私たちは決してその話を信じなかった。,We never believed that story.',we-TOP never that story-ACC believe-NEG-PAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
358,ChatGPT,0,*,彼はスポーツをしなかったが、彼女は姉が行うをした。,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1238,ChatGPT,0,,彼女は新しいことにの挑戦している。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1746,ChatGPT,0,,今日は誰もがその犬にも触れなかった。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1084,ChatGPT,0,,彼女がドレスを四輪着た。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1547,ChatGPT,0,,彼女が誰とデートしたか知らない噂。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1680,ChatGPT,1,,彼女の提案は実用的だが、彼のは非実用的だ。,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
373,ChatGPT,0,*,先生が昨日教えた生徒は賢いが、生徒が教えたは注意散漫だ。,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
771,ChatGPT,0,,健太郎はの自分の絵を展示した。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1194,ChatGPT,0,,彼は急いで電話をに出た。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2003,ChatGPT,0,,その犬は賢いだ。,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1391,ChatGPT,0,,猫が私をお見送りになった。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2085,ChatGPT,0,,どのコンサートを彼がどの楽器を演奏したか聞いたことがありますか？,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
111,ChatGPT,1,g,このパーティーには誰も招かなかった。,このパーティーには誰も招かなかった。,Nobody was invited to this party.',This party-DAT is nobody invite-NEG-PAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
223,ChatGPT,0,*,試したスポーツが難しかったのはどれですか？,,,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1363,ChatGPT,1,,西村さんが役員をお招きになった。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1420,ChatGPT,0,,学生がアルバイト先の店長をお褒めになる。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1032,ChatGPT,0,,学校には生徒が100人教師だ。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1668,ChatGPT,1,,彼のスピーチは感動的だが、彼女のは退屈だ。,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1200,ChatGPT,0,,子供たちはに学校に行きたがっている。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1329,ChatGPT,1,,彼女が担当者に要望をお伝えした。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1120,ChatGPT,1,,彼女は遅れそうだ。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1191,ChatGPT,0,,彼は深く息のを吸った。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
558,ChatGPT,0,,大切な機会を見過ごし損じました。,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1539,ChatGPT,0,,葉子は勇人がどのようにして彼女の信頼を失ったのか心配しているの？,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2437,ChatGPT,1,,彼女はショッピングを楽しんだ。,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1733,ChatGPT,0,,これは花子と計画だ。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1261,ChatGPT,0,,彼はの深く考え込んでいる。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
745,ChatGPT,1,,智史は自分の趣味の時間を大切にした。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
747,ChatGPT,1,,哲夫は自分の庭園を手入れした。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2424,ChatGPT,1,,彼女は傘を忘れてきた。,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
520,ChatGPT,1,,子供たちは新しいゲームをプレイするのを始めた。,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2205,ChatGPT,1,,彼のアート作品の創造性は唯一無二だ。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2403,ChatGPT,1,,犬が庭で穴を掘っている。,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2631,ChatGPT,0,,ケーキを作る彼女が食べられる。,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
678,ChatGPT,0,,鉢植えが丁寧に植えられ枯れた。,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1362,ChatGPT,1,,横山さんがゲストをご案内になった。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1100,ChatGPT,0,,順一は彼の犬とで散歩した。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1965,ChatGPT,1,,私は友達にプレゼントをあげる。,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
499,ChatGPT,1,,学生たちはプログラミングを学ぶのを進めている。,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2610,ChatGPT,0,,彼に書かれる本を読む。,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2149,ChatGPT,1,,昨晩飲んだ新しいお茶はリラックス効果があった。,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1225,ChatGPT,0,,彼は目標にで向かって進んでいる。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1285,ChatGPT,0,,彼はギターをが弾く。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1886,ChatGPT,0,,彼は読む速いです。,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1041,ChatGPT,0,,彼女が飲んだのはコーヒーを二杯紅茶だ。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2632,ChatGPT,0,,本が彼に読ませる。,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2006,ChatGPT,0,,その本は重いだ。,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2009,ChatGPT,0,,この料理は辛いだ。,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
635,ChatGPT,0,,扉が静かに開けられ閉じられた。,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2591,ChatGPT,0,,食べる彼女が作ったケーキ。,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2263,ChatGPT,1,,雅子は彼女の友人と新しいカフェを訪れた。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1852,ChatGPT,0,,彼が使っているのは大きいの鉛筆だ。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1102,ChatGPT,1,,彼女は泣きそうだ。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1239,ChatGPT,0,,この映画は退屈のだった。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2079,ChatGPT,1,,彼は毎日コーヒーを飲みます。,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2422,ChatGPT,1,,彼女は財布を忘れた。,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
851,ChatGPT,0,,明子は自分のアイデアをに実現させた。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1873,ChatGPT,0,,このケーキはおいしいだ。,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1994,ChatGPT,0,,その時計は古いだろう。,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
