uid,source,label,diacritic,sentence,original,translation,gloss,simple,Arg. Str.,ellipsis,filler-gap,control/raising,island effects,NPI/NCI,verbal agr.,binding,morphology,nominal structure,quantifier,category,acceptability
1372,ChatGPT,1,,藤田さんが先生をお助けになった。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,acceptable
356,ChatGPT,0,*,彼女は映画を見なかったが、彼は兄がおすすめするを見た。,,,,False,False,True,False,False,False,False,False,False,False,False,False,ellipsis,unacceptable
176,ChatGPT,0,*,彼女は全然誰もの意見を考慮しなかった。,彼女は全然誰もの意見を考慮しなかった。,She didn't consider anyone's opinion at all.,She-TOP at all who-MO-GEN opinion-ACC consider-NEG-PAST,False,False,False,False,False,False,True,False,False,False,False,False,NPI/NCI,unacceptable
503,ChatGPT,1,,彼はビジネスの拡大を計画するのを検討している。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,acceptable
104,ChatGPT,1,g,誰もその変更に気づかなかった。,誰もその変更に気づかなかった。,Nobody noticed that change.',no one that change-ACC notice-NEG-PAST,False,False,False,False,False,False,True,False,False,False,False,False,NPI/NCI,acceptable
2425,ChatGPT,1,,猫がソファで寝ている。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,acceptable
597,ChatGPT,0,,カードが慎重に選ばれ失われた。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,unacceptable
1707,ChatGPT,1,,この映画の音楽は印象的だが、あの映画のは忘れやすい。,,,,False,False,True,False,False,False,False,False,False,False,True,False,ellipsis,acceptable
559,ChatGPT,0,,犬が散歩に連れて行かれ終わった。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,unacceptable
1337,ChatGPT,1,,鈴木さんが部長に会議室の予約をお願いした。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,acceptable
441,ChatGPT,1,,彼女はケーキを焼き終えた。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,acceptable
618,ChatGPT,0,,時計が正確に合わせられ遅れた。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,unacceptable
1825,ChatGPT,0,,彼女は絵の描き方が得意です。,,,,False,False,False,False,False,False,False,False,False,False,True,False,nominal structure,unacceptable
152,ChatGPT,0,*,彼は決して何も問題を解決しなかった。,彼は決して何も問題を解決しなかった。,He never solved no problems.,He-TOP never no problem-ACC solve-NEG-PAST,False,False,False,False,False,False,True,False,False,False,False,False,NPI/NCI,unacceptable
1336,ChatGPT,1,,彼女が顧客にサンプルをお送りした。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,acceptable
1014,ChatGPT,0,,彼がゲームを3冊プレイした。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,unacceptable
248,ChatGPT,0,*,彼女が日記に書いていた夢が不思議だったのはどのような内容ですか？,,,,False,False,False,True,False,True,False,False,False,False,False,False,filler-gap,unacceptable
730,ChatGPT,1,,美紀は彼女の日記を更新した。,,,,False,False,False,False,False,False,False,False,True,False,False,False,binding,acceptable
402,ChatGPT,0,*,彼女が今朝聞いた曲はリラックスできるが、友達が聞いたは煩い。,,,,False,False,True,False,False,False,False,False,False,False,True,False,ellipsis,unacceptable
1665,ChatGPT,1,,このレストランのサービスは素晴らしいが、そのレストランのは普通だ。,,,,False,False,True,False,False,False,False,False,False,False,True,False,ellipsis,acceptable
2379,ChatGPT,1,,彼は毎晩映画を見る。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,acceptable
2186,ChatGPT,1,,この部屋のインテリアは洗練されていて快適だ。,,,,False,False,False,False,False,False,False,False,False,False,True,False,nominal structure,acceptable
601,ChatGPT,0,,記事が詳細に書かれ変更された。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,unacceptable
909,ChatGPT,1,,彼女は一日に6時間勉強する。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,acceptable
247,ChatGPT,0,*,彼がいつも持っているペンが高価なのはどのブランドのものですか？,,,,False,False,False,True,False,True,False,False,False,False,False,False,filler-gap,unacceptable
1822,ChatGPT,0,,この時計は精度の高いです。,,,,False,False,False,False,False,False,False,False,False,False,True,False,nominal structure,unacceptable
1972,ChatGPT,1,,私は彼に本を読む。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,acceptable
2130,ChatGPT,1,,今朝の散歩はとても心地よかった。,,,,False,False,False,True,False,False,False,False,False,False,False,False,filler-gap,acceptable
269,ChatGPT,1,*,私たちが夏に行ったキャンプ旅行は山中湖のほとりだった。,,,,False,False,False,True,False,True,False,False,False,False,False,False,filler-gap,acceptable
479,ChatGPT,1,,彼女は週末を過ごすことを選んだ。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,acceptable
913,ChatGPT,1,,彼女はそのパーティーに一人も知り合いがいなかった。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,acceptable
2446,ChatGPT,1,,子供たちは遊園地で楽しんでいる。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,acceptable
1944,ChatGPT,1,,彼女はバスで家に行った。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,acceptable
255,ChatGPT,1,*,私たちが最近楽しんだ映画は「星に願いを」だ。,,,,False,False,False,True,False,True,False,False,False,False,False,False,filler-gap,acceptable
1655,ChatGPT,0,,父が選ぶどの車か息子は考えている。,,,,False,False,False,False,False,True,False,False,False,False,False,False,island effects,unacceptable
531,ChatGPT,1,,彼女は新しい技術を取り入れるのを考えている。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,acceptable
1504,ChatGPT,0,,彼女は四角いです。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,unacceptable
1920,ChatGPT,0,,彼女が窓に開けた。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,unacceptable
1462,ChatGPT,0,,そのゲームは高いです。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,unacceptable
95,ChatGPT,1,g,彼は決してそのゲームに勝たなかった。,彼は決してそのゲームに勝たなかった。,He never won that game.',he-TOP never that game-ACC win-NEG-PAST,False,False,False,False,False,False,True,False,False,False,False,False,NPI/NCI,acceptable
42,ChatGPT,1,g,誰も彼を助けようとしなかった。,誰も彼を助けようとしなかった。,Nobody tried to help him.',anyone he-ACC help-try-NEG-PAST,False,False,False,False,False,False,True,False,False,False,False,False,NPI/NCI,acceptable
1690,ChatGPT,1,,このレストランの料理は美味しいが、あのレストランのはそうでもない。,,,,False,False,True,False,False,False,False,False,False,False,True,False,ellipsis,acceptable
136,ChatGPT,0,*,私たちは決してそのアイディアに何もの言葉を与えなかった。,私たちは決してそのアイディアに何もの言葉を与えなかった。,We never gave any words to that idea.',We-TOP never that idea-DAT what-MO-GEN word-ACC give-NEG-PAST,False,False,False,False,False,False,True,False,False,False,False,False,NPI/NCI,unacceptable
979,ChatGPT,0,,彼が椅子を3足買った。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,unacceptable
2143,ChatGPT,1,,先週末に訪れた公園は自然が豊かで素晴らしかった。,,,,False,False,False,True,False,False,False,False,False,False,False,False,filler-gap,acceptable
384,ChatGPT,0,*,彼女が今朝聞いたニュースは重要だが、彼が聞いたは些細だ。,,,,False,False,True,False,False,False,False,False,False,False,True,False,ellipsis,unacceptable
1961,ChatGPT,1,,私は彼と手紙を書く。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,acceptable
465,ChatGPT,1,,彼は早退することを決めた。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,acceptable
1815,ChatGPT,0,,私たちは料理の食べ物が好きです。,,,,False,False,False,False,False,False,False,False,False,False,True,False,nominal structure,unacceptable
2192,ChatGPT,1,,このレストランの料理は味が良くてヘルシーだ。,,,,False,False,False,False,False,False,False,False,False,False,True,False,nominal structure,acceptable
726,ChatGPT,1,,友美は彼女の旅行計画を立てた。,,,,False,False,False,False,False,False,False,False,True,False,False,False,binding,acceptable
1528,ChatGPT,0,,康平は優子がどのように彼の仕事を邪魔したのか苛立っているの？,,,,False,False,False,True,False,True,False,False,False,False,False,False,filler-gap,unacceptable
2553,ChatGPT,0,,生徒が泣かせられた先生はこの人になる。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,unacceptable
270,ChatGPT,1,*,彼が書いた詩は季節の変化をテーマにしたものだ。,,,,False,False,False,True,False,True,False,False,False,False,False,False,filler-gap,acceptable
1147,ChatGPT,1,,この道は歩きやすい。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,acceptable
980,ChatGPT,0,,彼女がドレスを2本着た。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,unacceptable
1674,ChatGPT,1,,彼女のスタイルはモダンだが、彼のはクラシックだ。,,,,False,False,True,False,False,False,False,False,False,False,True,False,ellipsis,acceptable
2601,ChatGPT,0,,読む彼に本が書かれる。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,unacceptable
1349,ChatGPT,1,,私たちはその問題を解決しましたよ。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,acceptable
448,ChatGPT,1,,彼女はケーキを焼き始めた。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,acceptable
1086,ChatGPT,0,,子どもがおもちゃを七輪遊んだ。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,unacceptable
1868,ChatGPT,0,,彼女は上手な歌う。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,unacceptable
1607,ChatGPT,1,,彼がどの車を選ぶか家族は知らない。,,,,False,False,False,False,False,True,False,False,False,False,False,False,island effects,acceptable
1251,ChatGPT,0,,彼女は歌うことがに好きだ。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,unacceptable
1650,ChatGPT,0,,彼が選ぶどの色の車か友達は分からない。,,,,False,False,False,False,False,True,False,False,False,False,False,False,island effects,unacceptable
1333,ChatGPT,1,,私が取締役に企画の概要をご説明した。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,acceptable
427,ChatGPT,0,*,彼女はこの細いより太いペンで書いた。,,,,False,False,True,True,False,False,False,False,False,False,False,False,ellipsis,unacceptable
1442,ChatGPT,0,,あの川は痒いです。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,unacceptable
44,ChatGPT,1,g,私たちは決してその話を信じなかった。,私たちは決してその話を信じなかった。,We never believed that story.',we-TOP never that story-ACC believe-NEG-PAST,False,False,False,False,False,False,True,False,False,False,False,False,NPI/NCI,acceptable
358,ChatGPT,0,*,彼はスポーツをしなかったが、彼女は姉が行うをした。,,,,False,False,True,False,False,False,False,False,False,False,False,False,ellipsis,unacceptable
1238,ChatGPT,0,,彼女は新しいことにの挑戦している。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,unacceptable
1746,ChatGPT,0,,今日は誰もがその犬にも触れなかった。,,,,False,False,False,False,False,False,True,False,False,False,False,False,NPI/NCI,unacceptable
1084,ChatGPT,0,,彼女がドレスを四輪着た。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,unacceptable
1547,ChatGPT,0,,彼女が誰とデートしたか知らない噂。,,,,False,False,False,False,False,True,False,False,False,False,False,False,island effects,unacceptable
1680,ChatGPT,1,,彼女の提案は実用的だが、彼のは非実用的だ。,,,,False,False,True,False,False,False,False,False,False,False,True,False,ellipsis,acceptable
373,ChatGPT,0,*,先生が昨日教えた生徒は賢いが、生徒が教えたは注意散漫だ。,,,,False,False,True,False,False,False,False,False,False,False,True,False,ellipsis,unacceptable
771,ChatGPT,0,,健太郎はの自分の絵を展示した。,,,,False,False,False,False,False,False,False,False,True,False,False,False,binding,unacceptable
1194,ChatGPT,0,,彼は急いで電話をに出た。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,unacceptable
2003,ChatGPT,0,,その犬は賢いだ。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,unacceptable
1391,ChatGPT,0,,猫が私をお見送りになった。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,unacceptable
2085,ChatGPT,0,,どのコンサートを彼がどの楽器を演奏したか聞いたことがありますか？,,,,False,False,False,True,False,False,False,False,False,False,False,False,filler-gap,unacceptable
111,ChatGPT,1,g,このパーティーには誰も招かなかった。,このパーティーには誰も招かなかった。,Nobody was invited to this party.',This party-DAT is nobody invite-NEG-PAST,False,False,False,False,False,False,True,False,False,False,False,False,NPI/NCI,acceptable
223,ChatGPT,0,*,試したスポーツが難しかったのはどれですか？,,,,False,False,True,True,False,True,False,False,False,False,False,False,ellipsis,unacceptable
1363,ChatGPT,1,,西村さんが役員をお招きになった。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,acceptable
1420,ChatGPT,0,,学生がアルバイト先の店長をお褒めになる。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,unacceptable
1032,ChatGPT,0,,学校には生徒が100人教師だ。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,unacceptable
1668,ChatGPT,1,,彼のスピーチは感動的だが、彼女のは退屈だ。,,,,False,False,True,False,False,False,False,False,False,False,True,False,ellipsis,acceptable
1200,ChatGPT,0,,子供たちはに学校に行きたがっている。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,unacceptable
1329,ChatGPT,1,,彼女が担当者に要望をお伝えした。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,acceptable
1120,ChatGPT,1,,彼女は遅れそうだ。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,acceptable
1191,ChatGPT,0,,彼は深く息のを吸った。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,unacceptable
558,ChatGPT,0,,大切な機会を見過ごし損じました。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,unacceptable
1539,ChatGPT,0,,葉子は勇人がどのようにして彼女の信頼を失ったのか心配しているの？,,,,False,False,False,True,False,True,False,False,False,False,False,False,filler-gap,unacceptable
2437,ChatGPT,1,,彼女はショッピングを楽しんだ。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,acceptable
1733,ChatGPT,0,,これは花子と計画だ。,,,,False,False,False,False,False,False,False,False,False,False,True,False,nominal structure,unacceptable
1261,ChatGPT,0,,彼はの深く考え込んでいる。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,unacceptable
745,ChatGPT,1,,智史は自分の趣味の時間を大切にした。,,,,False,False,False,False,False,False,False,False,True,False,False,False,binding,acceptable
747,ChatGPT,1,,哲夫は自分の庭園を手入れした。,,,,False,False,False,False,False,False,False,False,True,False,False,False,binding,acceptable
2424,ChatGPT,1,,彼女は傘を忘れてきた。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,acceptable
520,ChatGPT,1,,子供たちは新しいゲームをプレイするのを始めた。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,acceptable
2205,ChatGPT,1,,彼のアート作品の創造性は唯一無二だ。,,,,False,False,False,False,False,False,False,False,False,False,True,False,nominal structure,acceptable
2403,ChatGPT,1,,犬が庭で穴を掘っている。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,acceptable
2631,ChatGPT,0,,ケーキを作る彼女が食べられる。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,unacceptable
678,ChatGPT,0,,鉢植えが丁寧に植えられ枯れた。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,unacceptable
1362,ChatGPT,1,,横山さんがゲストをご案内になった。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,acceptable
1100,ChatGPT,0,,順一は彼の犬とで散歩した。,,,,False,False,False,False,False,False,False,False,True,False,False,False,binding,unacceptable
1965,ChatGPT,1,,私は友達にプレゼントをあげる。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,acceptable
499,ChatGPT,1,,学生たちはプログラミングを学ぶのを進めている。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,acceptable
2610,ChatGPT,0,,彼に書かれる本を読む。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,unacceptable
2149,ChatGPT,1,,昨晩飲んだ新しいお茶はリラックス効果があった。,,,,False,False,False,True,False,False,False,False,False,False,False,False,filler-gap,acceptable
1225,ChatGPT,0,,彼は目標にで向かって進んでいる。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,unacceptable
1285,ChatGPT,0,,彼はギターをが弾く。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,unacceptable
1886,ChatGPT,0,,彼は読む速いです。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,unacceptable
1041,ChatGPT,0,,彼女が飲んだのはコーヒーを二杯紅茶だ。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,unacceptable
2632,ChatGPT,0,,本が彼に読ませる。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,unacceptable
2006,ChatGPT,0,,その本は重いだ。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,unacceptable
2009,ChatGPT,0,,この料理は辛いだ。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,unacceptable
635,ChatGPT,0,,扉が静かに開けられ閉じられた。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,unacceptable
2591,ChatGPT,0,,食べる彼女が作ったケーキ。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,unacceptable
2263,ChatGPT,1,,雅子は彼女の友人と新しいカフェを訪れた。,,,,False,False,False,False,False,False,False,False,True,False,False,False,binding,acceptable
1852,ChatGPT,0,,彼が使っているのは大きいの鉛筆だ。,,,,False,False,False,False,False,False,False,False,False,False,True,False,nominal structure,unacceptable
1102,ChatGPT,1,,彼女は泣きそうだ。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,acceptable
1239,ChatGPT,0,,この映画は退屈のだった。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,unacceptable
2079,ChatGPT,1,,彼は毎日コーヒーを飲みます。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,acceptable
2422,ChatGPT,1,,彼女は財布を忘れた。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,acceptable
851,ChatGPT,0,,明子は自分のアイデアをに実現させた。,,,,False,False,False,False,False,False,False,False,True,False,False,False,binding,unacceptable
1873,ChatGPT,0,,このケーキはおいしいだ。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,unacceptable
1994,ChatGPT,0,,その時計は古いだろう。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,unacceptable
2137,ChatGPT,1,,最近読んだ歴史書は非常に教育的だった。,,,,False,False,False,True,False,False,False,False,False,False,False,False,filler-gap,acceptable
1497,ChatGPT,0,,彼女は薄いです。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,unacceptable
2322,ChatGPT,1,,彼女は毎月10回以上友達に会う。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,acceptable
578,ChatGPT,0,,予約が正確に管理されキャンセルされた。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,unacceptable
2450,ChatGPT,1,,彼女は友達と映画に行った。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,acceptable
1542,ChatGPT,0,,レイコはそのトオルより鋭いペンを使った。,,,,False,False,False,True,False,True,False,False,False,False,False,False,filler-gap,unacceptable
937,ChatGPT,1,,彼は一週間で3回ジョギングをした。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,acceptable
869,ChatGPT,0,,智恵子は自分の意見をす堂々と述べた。,,,,False,False,False,False,False,False,False,False,True,False,False,False,binding,unacceptable
2427,ChatGPT,1,,彼女はガーデニングを楽しんでいる。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,acceptable
1151,ChatGPT,1,,彼は笑いをこらえている。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,acceptable
466,ChatGPT,1,,子供たちは外で遊ぶことを望んだ。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,acceptable
129,ChatGPT,0,*,彼は滅多に何も本を読まなかった。,彼は滅多に何も本を読まなかった。,He seldom read any books.',He-TOP seldom what-MO book-ACC read-NEG-PAST,False,False,False,False,False,False,True,False,False,False,False,False,NPI/NCI,unacceptable
377,ChatGPT,0,*,彼が昨日買った本は新しいが、彼女が買ったは古い。,,,,False,False,True,False,False,False,False,False,False,False,True,False,ellipsis,unacceptable
1381,ChatGPT,1,,森部長がチームメンバーをお導きになった。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,acceptable
452,ChatGPT,1,,子供たちは宿題をするのを拒否した。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,acceptable
29,ChatGPT,1,g,私たちは一切彼の忠告を聞かなかった。,私たちは一切彼の忠告を聞かなかった。,We did not listen to his advice at all.',we-TOP at all his advice-ACC listen-NEG-PAST,False,False,False,False,False,False,True,False,False,False,False,False,NPI/NCI,acceptable
296,ChatGPT,1,*,彼は明日彼女に会うと計画している。,,,,False,False,True,False,False,False,False,False,False,False,False,False,ellipsis,acceptable
2220,ChatGPT,1,,彼女の芸術センスは独自性があり際立っている。,,,,False,False,False,False,False,False,False,False,False,False,True,False,nominal structure,acceptable
140,ChatGPT,0,*,私たちはほとんど何ものイベントを計画しなかった。,私たちはほとんど何ものイベントを計画しなかった。,We hardly planned any of the events.',We-TOP hardly what-MO-GEN event-ACC plan-NEG Present,False,False,False,False,False,False,True,False,False,False,False,False,NPI/NCI,unacceptable
1814,ChatGPT,0,,その車は速さの速いです。,,,,False,False,False,False,False,False,False,False,False,False,True,False,nominal structure,unacceptable
1745,ChatGPT,0,,彼は決して何もの歌も歌わなかった。,,,,False,False,False,False,False,False,True,False,False,False,False,False,NPI/NCI,unacceptable
2400,ChatGPT,1,,彼は週末に映画を見る。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,acceptable
936,ChatGPT,1,,彼女は全員にお礼のカードを送った。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,acceptable
556,ChatGPT,0,,彼の忠告を無視し損じました。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,unacceptable
1695,ChatGPT,1,,彼の計画は実現可能だが、彼女のはそうではない。,,,,False,False,True,False,False,False,False,False,False,False,True,False,ellipsis,acceptable
1056,ChatGPT,0,,彼が完成させたのはプロジェクトを5つ計画だ。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,unacceptable
1752,ChatGPT,0,,彼女は全く何もの映画も見なかった。,,,,False,False,False,False,False,False,True,False,False,False,False,False,NPI/NCI,unacceptable
31,ChatGPT,1,g,私はあまり早起きをしない。,私はあまり早起きをしない。,I don't often get up early.',I-TOP not much early-get up-NEG-NONPAST,False,False,False,False,False,False,True,False,False,False,False,False,NPI/NCI,acceptable
1213,ChatGPT,0,,彼女は買い物にが行きたそうだ。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,unacceptable
2382,ChatGPT,1,,彼女は料理が上手だ。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,acceptable
1581,ChatGPT,1,,田中さんがどの映画を見るか妻は尋ねている。,,,,False,False,False,False,False,True,False,False,False,False,False,False,island effects,acceptable
491,ChatGPT,1,,彼は新しいプロジェクトを始めるのを計画している。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,acceptable
961,ChatGPT,1,,彼はチョコレートを一粒も食べなかった。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,acceptable
388,ChatGPT,0,*,私が昨日飲んだコーヒーは香り高いが、兄が飲んだは薄い。,,,,False,False,True,False,False,False,False,False,False,False,True,False,ellipsis,unacceptable
1621,ChatGPT,1,,田中さんがどのスポーツをするか同僚は分からない。,,,,False,False,False,False,False,True,False,False,False,False,False,False,island effects,acceptable
2387,ChatGPT,1,,彼はギターを弾くのが好きだ。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,acceptable
1613,ChatGPT,1,,先生がどの詩を朗読するか生徒は聞いていない。,,,,False,False,False,False,False,True,False,False,False,False,False,False,island effects,acceptable
812,ChatGPT,0,,由美子は彼女の庭に花をも植えた。,,,,False,False,False,False,False,False,False,False,True,False,False,False,binding,unacceptable
2426,ChatGPT,1,,彼はバスケットボールをしている。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,acceptable
1791,ChatGPT,0,,どこで彼が働いたか会社は閉鎖された。,,,,False,False,False,False,False,True,False,False,False,False,False,False,island effects,unacceptable
1031,ChatGPT,0,,彼が作ったのは料理を三品サラダだ。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,unacceptable
966,ChatGPT,1,,その公園には木が20本ある。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,acceptable
1015,ChatGPT,0,,彼女がパンを2人焼いた。,,,,False,False,False,False,False,False,False,False,False,False,False,True,quantifier,unacceptable
1189,ChatGPT,0,,彼女はゆっくりとが歩き出した。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,unacceptable
1466,ChatGPT,0,,この議論は厚いです。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,unacceptable
2578,ChatGPT,0,,映画を見た映画館に彼女。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,unacceptable
607,ChatGPT,0,,朝日が明るく照らされ隠れた。,,,,False,False,False,False,True,False,False,False,False,False,False,False,control/raising,unacceptable
1356,ChatGPT,1,,忙しい学生はどなたですか？,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,acceptable
